# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Oct 22 09:05:46 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_controv_flag = 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,default_flag,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,st_spectype,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
24 Sex c,1,Radial Velocity,2010,0,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,,,,,273.32000,111.24000,-69.92000,0,,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,72.0691000,0.6854000,-0.6728000,6.2037400,0.0004976,-0.0004976
2M0437 b,1,Imaging,2021,0,,,,,118.000000,1.300000,-1.300000,0,,,,,1271.31363,317.82841,-317.82841,0,M V,0.84,0.11,-0.11,0,0.17,0.01,-0.02,0,128.4840000,1.1960000,-1.1740000,14.3374000,0.0007720,-0.0007720
2MASS J01033563-5515561 AB b,1,Imaging,2013,0,,,,,84.000000,,,0,,,,,4131.79000,317.83000,-317.83000,0,M5.5/M6,,,,,0.19,0.02,-0.02,0,,,,,,
2MASS J01225093-2439505 b,1,Imaging,2013,0,,,,,52.000000,6.000000,-6.000000,0,,,,,7786.50000,794.50000,-794.50000,0,M3.5 V,,,,,0.40,0.05,-0.05,0,33.8281000,0.0864000,-0.0860000,12.9025000,0.0011510,-0.0011510
2MASS J02192210-3925225 b,1,Imaging,2015,0,,,,,156.000000,10.000000,-10.000000,0,16.141,0.336,-0.336,0,4417.83700,349.61300,-349.61300,0,M6,0.28,0.01,-0.01,0,0.11,0.01,-0.01,0,,,,15.0123000,0.0006240,-0.0006240
2MASS J0249-0557 c,1,Imaging,2018,0,,,,,1950.000000,200.000000,-200.000000,0,,,,,3686.80952,413.17693,-317.82841,0,M6 V,,,,,0.05,0.01,-0.01,0,66.0613000,0.4543000,-0.4482000,15.6894000,0.0012240,-0.0012240
2MASS J03590986+2009361 b,1,Imaging,2024,0,,,,,572.000000,7.000000,-7.000000,0,,,,,5720.91133,317.82841,-317.82841,0,,,,,,,,,,117.4350000,2.3200000,-2.2330000,16.9967000,0.0010820,-0.0010820
2MASS J04414489+2301513 b,1,Imaging,2010,0,,,,,15.000000,,,0,,,,,2383.60000,794.50000,-794.50000,0,M8.5,,,,,0.02,,,0,,,,18.9668000,0.0068330,-0.0068330
2MASS J11011926-7732383 b,1,Imaging,2024,0,,,,,266.000000,8.000000,-8.000000,0,,,,,8899.19540,3178.28407,-2224.79885,0,,,,,,,,,,,,,18.3299000,0.0022940,-0.0022940
2MASS J11550485-7919108 b,1,Imaging,2024,0,,,,,587.000000,2.000000,-2.000000,0,,,,,6356.56814,317.82841,-317.82841,0,,,,,,,,,,100.8620000,0.6030000,-0.5960000,14.8180000,0.0017250,-0.0017250
2MASS J12073346-3932539 b,1,Imaging,2004,0,,,,,55.000000,,,0,,,,,1589.15000,635.66000,-635.66000,0,M8,,,,,0.02,,,0,64.3080000,0.6569000,-0.6440000,17.4076000,0.0021540,-0.0021540
2MASS J19383260+4603591 b,1,Eclipse Timing Variations,2015,0,406.00000000,4.00000000,-4.00000000,0,,,,,,,,,591.16084,15.89142,-15.89142,0,,0.20,0.00,0.00,0,0.48,,,0,396.3320000,6.3885000,-6.3885000,12.1376000,0.0036870,-0.0036870
2MASS J21252752-8138278 b,1,Imaging,2024,0,,,,,7493.000000,11.000000,-11.000000,0,,,,,3813.94088,317.82841,-317.82841,0,,,,,,,,,,34.1154000,0.0811000,-0.0807000,10.8133000,0.0020880,-0.0020880
2MASS J22362452+4751425 b,1,Imaging,2016,0,,,,,230.000000,20.000000,-20.000000,0,,,,,3972.87500,476.74500,-476.74500,0,K7 V,,,,,0.60,0.05,-0.05,0,69.5737000,0.1592000,-0.1585000,11.9484000,0.0007370,-0.0007370
30 Ari B b,1,Radial Velocity,2009,0,335.10001000,2.50000000,-2.50000000,0,0.990000,0.020000,-0.020000,0,,,,,4392.41060,572.09400,-572.09400,0,,1.41,0.05,-0.05,0,1.93,0.27,-0.27,0,44.6570000,0.1039000,-0.1034000,6.9608500,0.0005120,-0.0005120
4 UMa b,1,Radial Velocity,2006,0,270.27000000,0.24000000,-0.09000000,0,0.877000,0.001000,0.000000,0,,,,,2511.48007,63.24785,-120.13914,0,K1 III,18.11,1.47,-1.47,0,1.23,0.15,-0.15,0,73.4603000,1.1860500,-1.1860500,4.2377300,0.0047288,-0.0047288
42 Dra b,1,Radial Velocity,2008,0,479.10000000,6.20000000,-6.20000000,0,1.190000,0.010000,-0.010000,0,,,,,1233.13000,270.14000,-270.14000,0,K1.5 III,22.03,1.00,-1.00,0,0.98,0.05,-0.05,0,90.6545000,1.3227000,-1.3227000,4.4321600,0.0062380,-0.0062380
47 UMa b,1,Radial Velocity,1996,0,1078.00000000,2.00000000,-2.00000000,0,2.100000,0.020000,-0.020000,0,,,,,804.08000,22.25000,-19.07000,0,,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,13.7967000,0.0289000,-0.0289000,4.8783700,0.0038294,-0.0038294
47 UMa c,1,Radial Velocity,2001,0,2391.00000000,100.00000000,-87.00000000,0,3.600000,0.100000,-0.100000,0,,,,,171.62100,20.97600,-23.20100,0,,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,13.7967000,0.0289000,-0.0289000,4.8783700,0.0038294,-0.0038294
47 UMa d,1,Radial Velocity,2009,0,14002.00000000,4018.00000000,-5095.00000000,0,11.600000,2.100000,-2.900000,0,,,,,521.22000,92.17000,-152.55000,0,,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,13.7967000,0.0289000,-0.0289000,4.8783700,0.0038294,-0.0038294
51 Eri b,1,Imaging,2015,0,,,,,13.200000,0.200000,-0.200000,0,,,,,635.66000,,,0,F0 IV,,,,,1.75,0.05,-0.05,0,29.7575000,0.1213000,-0.1203000,5.1580600,0.0023075,-0.0023075
51 Peg b,1,Radial Velocity,1995,0,4.23078500,0.00003600,-0.00003600,0,0.052700,0.003000,-0.003000,0,,,,,150.00900,12.39500,-12.39500,0,,1.18,0.07,-0.04,0,1.03,0.17,-0.09,0,15.4614000,0.0297000,-0.0297000,5.2864700,0.0027680,-0.0027680
55 Cnc b,1,Radial Velocity,1996,0,14.65160000,0.00010000,-0.00010000,0,0.113400,0.000600,-0.000600,0,,,,,255.40000,2.90000,-2.90000,0,,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,12.5855000,0.0124000,-0.0123000,5.7297300,0.0008523,-0.0008523
55 Cnc c,1,Radial Velocity,2004,0,44.39890000,0.00420000,-0.00430000,0,0.237300,0.001300,-0.001300,0,,,,,51.20000,1.30000,-1.30000,0,,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,12.5855000,0.0124000,-0.0123000,5.7297300,0.0008523,-0.0008523
55 Cnc d,1,Radial Velocity,2002,0,5574.20000000,93.80000000,-88.60000000,0,5.957000,0.074000,-0.071000,0,,,,,991.60000,30.70000,-33.10000,0,,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,12.5855000,0.0124000,-0.0123000,5.7297300,0.0008523,-0.0008523
55 Cnc e,1,Radial Velocity,2004,0,0.73654740,0.00000130,-0.00000140,0,0.015440,0.000050,-0.000050,0,1.875,0.029,-0.029,0,7.99000,0.32000,-0.33000,0,,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,12.5855000,0.0124000,-0.0123000,5.7297300,0.0008523,-0.0008523
55 Cnc f,1,Radial Velocity,2007,0,259.88000000,0.29000000,-0.29000000,0,0.770800,0.004300,-0.004400,0,,,,,47.80000,2.40000,-2.40000,0,,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,12.5855000,0.0124000,-0.0123000,5.7297300,0.0008523,-0.0008523
6 Lyn b,1,Radial Velocity,2008,0,919.86000000,1.92000000,-3.71000000,0,2.028000,0.003000,-0.005000,0,,,,,597.83523,12.07748,-28.28673,0,K0 IV,4.94,0.55,-0.50,0,1.32,0.20,-0.21,0,54.6599000,0.2734000,-0.2734000,5.6068600,0.0010850,-0.0010850
61 Vir b,1,Radial Velocity,2009,0,4.21500000,0.00060000,-0.00060000,0,0.050201,0.000005,-0.000005,0,,,,,5.10000,0.50000,-0.50000,0,G5 V,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,8.5033200,0.0173700,-0.0173000,4.5405200,0.0055701,-0.0055701
61 Vir c,1,Radial Velocity,2009,0,38.02100000,0.03400000,-0.03400000,0,0.217500,0.000100,-0.000100,0,,,,,18.20000,1.10000,-1.10000,0,G5 V,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,8.5033200,0.0173700,-0.0173000,4.5405200,0.0055701,-0.0055701
61 Vir d,1,Radial Velocity,2009,0,123.01000000,0.55000000,-0.55000000,0,0.476000,0.001000,-0.001000,0,,,,,22.90000,2.60000,-2.60000,0,G5 V,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,8.5033200,0.0173700,-0.0173000,4.5405200,0.0055701,-0.0055701
7 CMa b,1,Radial Velocity,2011,0,735.10000000,14.80000000,-1.00000000,0,1.758000,0.024000,-0.001000,0,,,,,587.98550,19.06980,-19.06980,0,,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0,19.8101000,0.1648000,-0.1648000,3.6785300,0.0041348,-0.0041348
7 CMa c,1,Radial Velocity,2019,0,996.00000000,1.50000000,-52.40000000,0,2.153000,0.003000,-0.080000,0,,,,,276.51210,19.06980,-19.06980,0,,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0,19.8101000,0.1648000,-0.1648000,3.6785300,0.0041348,-0.0041348
70 Vir b,1,Radial Velocity,1996,0,116.68800000,0.00540000,-0.00540000,0,0.481000,0.022000,-0.022000,0,,,,,2357.02728,18.11631,-18.11631,0,,1.89,,,0,1.09,,,0,17.9011000,0.0560000,-0.0557000,4.7617800,0.0044158,-0.0044158
75 Cet b,1,Radial Velocity,2012,0,696.62000000,1.33000000,-1.69000000,0,1.912000,0.002000,-0.003000,0,,,,,787.89662,23.51930,-28.60456,0,G3 III,10.38,0.15,-0.26,0,1.92,0.07,-0.08,0,82.9613000,0.7236500,-0.7236500,5.0934300,0.0039324,-0.0039324
75 Cet c,1,Radial Velocity,2023,0,2051.62000000,45.98000000,-40.47000000,0,3.929000,0.058000,-0.052000,0,,,,,289.85951,27.96890,-45.44946,0,G3 III,10.38,0.15,-0.26,0,1.92,0.07,-0.08,0,82.9613000,0.7236500,-0.7236500,5.0934300,0.0039324,-0.0039324
8 UMi b,1,Radial Velocity,2015,0,93.40000000,4.50000000,-4.50000000,0,0.490000,0.020000,-0.020000,0,,,,,416.35730,50.85280,-50.85280,0,,10.30,0.57,-0.57,0,1.44,0.19,-0.19,0,162.5520000,0.6510000,-0.6460000,6.5589600,0.0002370,-0.0002370
81 Cet b,1,Radial Velocity,2008,0,1005.57000000,1.84000000,-1.94000000,0,2.104000,0.003000,-0.003000,0,,,,,1051.05854,24.79062,-21.29450,0,G5 III,11.21,0.81,-0.35,0,1.23,0.30,-0.25,0,101.2600000,1.2220000,-1.2220000,5.3758800,0.0031065,-0.0031065
91 Aqr b,1,Radial Velocity,2013,0,181.40000000,0.10000000,-0.10000000,0,0.700000,,,0,,,,,1017.00000,,,0,K0 III,11.00,0.10,-0.10,0,1.40,0.10,-0.10,0,44.0304000,0.5132500,-0.5132500,3.9531100,0.0088430,-0.0088430
AB Aur b,1,Imaging,2022,0,,,,,93.900000,49.300000,-49.300000,0,,,,,2860.45566,,,0,,,,,,2.40,0.20,-0.20,0,162.1270000,1.5260000,-1.4980000,7.0785400,0.0010490,-0.0010490
AB Pic b,1,Imaging,2005,0,,,,,260.000000,,,0,,,,,4290.50000,158.90000,-158.90000,0,K2 V,,,,,,,,,50.0475000,0.0735000,-0.0733000,8.8378000,0.0013320,-0.0013320
AF Lep b,1,Imaging,2023,0,8030.00000000,1800.00000000,-1800.00000000,0,8.400000,1.100000,-1.300000,0,,,,,1017.05090,222.47988,-190.69704,0,F8 V,1.25,0.06,-0.06,0,1.20,0.06,-0.06,0,26.8564000,0.0189000,-0.0188000,6.1864400,0.0011395,-0.0011395
AU Mic b,1,Transit,2020,0,8.46299910,,,0,0.064500,0.001300,-0.001300,0,,,,,20.12000,1.57000,-1.72000,0,,,,,,0.50,0.03,-0.03,0,9.7221000,0.0046250,-0.0046250,7.8403800,0.0007310,-0.0007310
AU Mic c,1,Transit,2021,0,18.85899100,,,0,0.110100,0.002000,-0.002000,0,,,,,9.60000,2.07000,-2.31000,0,,,,,,0.50,0.03,-0.03,0,9.7221000,0.0046250,-0.0046250,7.8403800,0.0007310,-0.0007310
AU Mic d,1,Transit Timing Variations,2023,0,12.73596000,0.00793000,-0.00793000,0,,,,,,,,,1.05300,0.51100,-0.51100,0,,0.74,0.02,-0.02,0,0.51,0.03,-0.03,0,9.7221000,0.0046250,-0.0046250,7.8403800,0.0007310,-0.0007310
BD+03 2562 b,1,Radial Velocity,2017,0,481.90000000,2.70000000,-2.80000000,0,1.300000,0.100000,-0.100000,0,,,,,2034.11200,413.17900,-413.17900,0,,32.35,8.82,-8.82,0,1.14,0.25,-0.25,0,1070.6300000,63.8750000,-63.8750000,8.9977000,0.0002920,-0.0002920
BD+14 4559 b,1,Radial Velocity,2009,0,268.94000000,0.99000000,-0.99000000,0,0.780000,0.050000,-0.050000,0,,,,,330.54320,149.38010,-149.38010,0,,0.86,0.04,-0.04,0,0.49,0.33,-0.33,0,49.3520000,0.0846000,-0.0844000,9.3510800,0.0002530,-0.0002530
BD+15 2375 b,1,Radial Velocity,2016,0,153.22000000,0.44000000,-0.44000000,0,0.576000,0.027000,-0.027000,0,,,,,337.21763,85.81410,-85.81410,0,,8.95,1.45,-1.45,0,1.08,0.14,-0.14,0,768.0450000,45.0380000,-45.0380000,9.9918000,0.0004580,-0.0004580
BD+15 2940 b,1,Radial Velocity,2013,0,137.48000000,0.34000000,-0.34000000,0,0.539000,,,0,,,,,352.78000,,,0,K0,14.70,2.80,-2.80,0,1.10,0.20,-0.20,0,426.4200000,6.4400000,-6.4400000,8.7178000,0.0002910,-0.0002910
BD+20 2457 b,1,Radial Velocity,2009,0,379.63000000,2.01000000,-2.01000000,0,1.450000,,,0,,,,,6807.63000,,,0,K2 II,49.00,26.00,-26.00,0,2.80,1.50,-1.50,0,1539.7100000,189.9250000,-189.9250000,9.2268400,0.0004420,-0.0004420
BD+20 2457 c,1,Radial Velocity,2009,0,621.99000000,10.20000000,-10.20000000,0,2.010000,,,0,,,,,3963.17000,,,0,K2 II,49.00,26.00,-26.00,0,2.80,1.50,-1.50,0,1539.7100000,189.9250000,-189.9250000,9.2268400,0.0004420,-0.0004420
BD+20 274 b,1,Radial Velocity,2012,0,578.20000000,5.40000000,-5.40000000,0,1.300000,,,0,,,,,1334.88600,,,0,K5 III,17.30,0.90,-0.90,0,0.80,0.20,-0.20,0,1322.5100000,80.5350000,-80.5350000,8.9161300,0.0004680,-0.0004680
BD+20 594 b,1,Transit,2016,0,41.68550000,0.00300000,-0.00300000,0,,,,,2.578,0.112,-0.112,0,22.24810,9.53490,-9.53490,0,,1.08,0.06,-0.06,0,1.67,0.40,-0.40,0,179.4610000,1.2570000,-1.2400000,10.8644000,0.0002490,-0.0002490
BD+45 564 b,1,Radial Velocity,2021,0,307.88000000,1.47000000,-1.47000000,0,0.830000,0.040000,-0.040000,0,,,,,432.24663,38.13941,-38.13941,0,K1,,,,,0.81,0.07,-0.07,0,53.6220000,0.1919000,-0.1905000,9.4126600,0.0002550,-0.0002550
BD+48 738 b,1,Radial Velocity,2011,0,392.60000000,5.50000000,-5.50000000,0,1.000000,,,0,,,,,289.22530,,,0,K0 III,11.00,1.00,-1.00,0,0.74,0.39,-0.39,0,871.4930000,43.8490000,-43.8490000,8.6556900,0.0003650,-0.0003650
BD+48 740 b,1,Radial Velocity,2018,0,733.00000000,5.00000000,-8.00000000,0,1.700000,0.100000,-0.100000,0,,,,,540.31100,222.48100,-222.48100,0,,10.33,1.81,-1.81,0,1.09,0.16,-0.16,0,666.5890000,21.5335000,-21.5335000,8.2644900,0.0007610,-0.0007610
BD+49 828 b,1,Radial Velocity,2015,0,2590.00000000,300.00000000,-180.00000000,0,4.200000,0.320000,-0.200000,0,,,,,508.50000,127.10000,-63.60000,0,K0,7.60,1.30,-1.30,0,1.52,0.22,-0.22,0,442.0420000,7.6540000,-7.6540000,9.0285100,0.0002350,-0.0002350
BD+55 362 b,1,Radial Velocity,2021,0,265.59000000,1.04000000,-1.04000000,0,0.780000,0.050000,-0.050000,0,,,,,228.83645,25.42627,-25.42627,0,K3,,,,,0.91,0.10,-0.10,0,52.5697000,0.0974000,-0.0971000,9.1530500,0.0001630,-0.0001630
BD+60 1417 b,1,Imaging,2021,0,,,,,1662.000000,,,0,14.684,0.673,-0.673,0,4767.42610,1589.14204,-1589.14204,0,K0,0.80,0.05,-0.05,0,1.00,,,0,44.9543000,0.0593000,-0.0592000,9.1743900,0.0005330,-0.0005330
BD+63 1405 b,1,Radial Velocity,2021,0,1198.48000000,60.79000000,-60.79000000,0,2.060000,0.140000,-0.140000,0,,,,,1258.60049,98.52681,-98.52681,0,K0,,,,,0.82,0.08,-0.08,0,38.0473000,0.0329000,-0.0329000,8.7050000,0.0002570,-0.0002570
BD-06 1339 c,1,Radial Velocity,2013,0,125.94000000,0.44000000,-0.44000000,0,0.435000,0.007000,-0.007000,0,,,,,53.00000,8.00000,-8.00000,0,K7/M0 V,,,,,0.70,,,0,20.2695000,0.0220000,-0.0218000,9.1067700,0.0006020,-0.0006020
BD-08 2823 b,1,Radial Velocity,2009,0,5.60000000,0.02000000,-0.02000000,0,0.060000,0.000000,0.000000,0,,,,,12.71320,3.17830,-3.17830,0,,0.71,0.04,-0.04,0,0.50,0.26,-0.26,0,41.3342000,0.0685000,-0.0682000,9.5033100,0.0004180,-0.0004180
BD-08 2823 c,1,Radial Velocity,2009,0,237.60000000,1.50000000,-1.50000000,0,0.680000,0.020000,-0.020000,0,,,,,104.00000,10.00000,-10.00000,0,K3 V,,,,,0.74,0.07,-0.07,0,41.3342000,0.0685000,-0.0682000,9.5033100,0.0004180,-0.0004180
BD-10 3166 b,1,Radial Velocity,2000,0,3.48777000,0.00011000,-0.00011000,0,0.040000,0.000000,0.000000,0,,,,,187.51970,22.24810,-22.24810,0,,0.91,0.04,-0.04,0,1.47,0.24,-0.24,0,84.4069000,0.3537000,-0.3508000,9.8398100,0.0006070,-0.0006070
BD-11 4672 b,1,Radial Velocity,2014,0,1634.00000000,13.00000000,-14.00000000,0,2.360000,0.040000,-0.040000,0,,,,,206.58950,15.89150,-19.06980,0,,0.64,0.02,-0.02,0,0.65,0.03,-0.03,0,27.1665000,0.0346000,-0.0346000,9.4851100,0.0005180,-0.0005180
